sample_size,iteration,count_1pct,count_5pct
500,0,3,4
500,1,2,2
500,2,2,3
500,3,2,3
500,4,2,2
500,5,1,2
500,6,1,1
500,7,1,1
500,8,1,2
500,9,1,3
500,10,1,1
500,11,1,2
500,12,1,2
500,13,1,3
500,14,1,2
500,15,1,2
500,16,1,2
500,17,2,4
500,18,1,5
500,19,2,3
500,20,1,5
500,21,2,3
500,22,1,2
500,23,1,2
500,24,2,2
500,25,1,3
500,26,1,2
500,27,1,1
500,28,1,1
500,29,2,2
500,30,1,1
500,31,1,2
500,32,2,3
500,33,2,2
500,34,2,2
500,35,1,1
500,36,1,2
500,37,1,2
500,38,2,2
500,39,1,1
500,40,2,3
500,41,1,1
500,42,1,1
500,43,1,2
500,44,2,4
500,45,1,2
500,46,1,2
500,47,1,2
500,48,2,3
500,49,1,2
500,50,2,3
500,51,3,3
500,52,1,1
500,53,1,3
500,54,1,4
500,55,1,2
500,56,1,1
500,57,1,1
500,58,1,2
500,59,1,1
500,60,1,1
500,61,1,3
500,62,2,4
500,63,1,3
500,64,1,3
500,65,1,1
500,66,1,3
500,67,1,1
500,68,1,1
500,69,3,3
500,70,1,2
500,71,2,2
500,72,1,1
500,73,1,3
500,74,1,1
500,75,1,2
500,76,1,2
500,77,1,3
500,78,1,1
500,79,1,1
500,80,2,2
500,81,1,2
500,82,1,2
500,83,1,1
500,84,1,2
500,85,2,3
500,86,1,5
500,87,1,3
500,88,1,1
500,89,1,2
500,90,1,2
500,91,1,2
500,92,1,2
500,93,1,3
500,94,2,3
500,95,1,2
500,96,1,1
500,97,1,2
500,98,1,3
500,99,2,2
1000,0,2,3
1000,1,1,3
1000,2,1,3
1000,3,1,1
1000,4,1,2
1000,5,1,2
1000,6,1,1
1000,7,1,2
1000,8,1,2
1000,9,1,1
1000,10,2,3
1000,11,1,1
1000,12,2,2
1000,13,2,2
1000,14,1,2
1000,15,1,2
1000,16,1,1
1000,17,1,1
1000,18,2,4
1000,19,1,2
1000,20,1,3
1000,21,1,3
1000,22,1,2
1000,23,1,1
1000,24,1,1
1000,25,1,2
1000,26,1,2
1000,27,1,1
1000,28,1,4
1000,29,1,1
1000,30,1,2
1000,31,2,3
1000,32,1,2
1000,33,2,2
1000,34,2,2
1000,35,1,2
1000,36,1,2
1000,37,1,3
1000,38,1,1
1000,39,1,2
1000,40,2,2
1000,41,2,2
1000,42,1,1
1000,43,1,1
1000,44,2,3
1000,45,1,2
1000,46,1,3
1000,47,1,1
1000,48,1,2
1000,49,1,2
1000,50,1,1
1000,51,1,2
1000,52,1,2
1000,53,1,3
1000,54,2,3
1000,55,1,1
1000,56,2,4
1000,57,1,1
1000,58,2,2
1000,59,2,2
1000,60,1,2
1000,61,1,2
1000,62,1,2
1000,63,1,3
1000,64,1,3
1000,65,2,2
1000,66,1,2
1000,67,1,1
1000,68,1,2
1000,69,1,1
1000,70,1,2
1000,71,1,3
1000,72,1,2
1000,73,1,2
1000,74,1,5
1000,75,1,3
1000,76,1,3
1000,77,1,1
1000,78,1,2
1000,79,1,2
1000,80,1,4
1000,81,1,4
1000,82,2,2
1000,83,1,2
1000,84,2,2
1000,85,1,1
1000,86,2,3
1000,87,1,2
1000,88,1,2
1000,89,1,1
1000,90,2,3
1000,91,1,2
1000,92,2,3
1000,93,1,2
1000,94,1,2
1000,95,1,2
1000,96,1,2
1000,97,1,1
1000,98,1,1
1000,99,2,3
